Year;Month;Day;Hour;Minute;Wind Speed daily mean;Wind Direction daily mean;Wind Speed daily max;Wind Speed daily min
2001;12;11;00;00;4.80;43.88;6.78;3.15
2001;12;12;00;00;9.03;48.53;17.52;4.53
2001;12;13;00;00;30.19;64.30;52.19;15.79
2001;12;14;00;00;21.81;65.97;55.65;9.54
2001;12;15;00;00;8.33;57.04;10.61;5.83
2001;12;16;00;00;16.72;62.61;23.15;11.28
2001;12;17;00;00;7.24;49.75;12.81;4.77
2001;12;18;00;00;6.64;67.23;8.70;3.19
2001;12;19;00;00;3.70;225.63;6.66;1.70
2001;12;20;00;00;7.15;189.63;10.79;0.93
2001;12;21;00;00;21.84;235.26;40.99;3.86
2001;12;22;00;00;27.05;256.50;35.25;22.29
2001;12;23;00;00;14.33;249.44;36.49;1.85
2001;12;24;00;00;15.38;220.39;23.12;1.71
2001;12;25;00;00;28.60;238.91;33.03;23.09
2001;12;26;00;00;27.53;269.62;36.40;16.48
2001;12;27;00;00;16.52;230.70;22.10;11.32
2001;12;28;00;00;33.94;243.83;42.69;21.96
2001;12;29;00;00;26.83;236.32;61.19;14.78
2001;12;30;00;00;17.91;262.63;33.16;9.21
2001;12;31;00;00;6.15;292.54;11.93;0.89
2002;01;01;00;00;3.69;110.62;5.98;1.14
2002;01;02;00;00;5.22;120.73;8.93;2.63
2002;01;03;00;00;9.97;80.80;14.76;5.92
2002;01;04;00;00;4.43;117.37;5.62;2.40
2002;01;05;00;00;2.99;91.78;5.02;1.17
2002;01;06;00;00;2.54;179.04;4.78;0.66
2002;01;07;00;00;8.33;55.91;14.65;1.05
2002;01;08;00;00;3.06;109.27;4.54;2.00
2002;01;09;00;00;2.57;166.36;3.62;0.35
2002;01;10;00;00;3.25;166.22;5.38;0.84
2002;01;11;00;00;5.64;177.24;7.38;4.56
2002;01;12;00;00;2.46;121.96;5.03;0.81
2002;01;13;00;00;3.12;106.00;4.87;1.17
2002;01;14;00;00;3.68;113.91;4.89;1.92
2002;01;15;00;00;5.00;149.85;6.93;2.92
2002;01;16;00;00;3.31;221.72;3.93;2.24
2002;01;17;00;00;3.94;204.97;4.98;2.63
2002;01;18;00;00;5.97;195.39;7.89;4.56
2002;01;19;00;00;12.81;219.70;18.46;6.22
2002;01;20;00;00;19.05;236.00;31.77;13.02
2002;01;21;00;00;12.19;187.04;30.58;4.40
2002;01;22;00;00;14.53;217.89;28.37;5.35
2002;01;23;00;00;7.83;174.38;11.56;5.01
2002;01;24;00;00;17.55;215.37;28.65;6.42
2002;01;25;00;00;13.59;239.37;25.53;5.78
2002;01;26;00;00;22.07;229.73;39.43;10.22
2002;01;27;00;00;33.43;243.13;48.73;16.85
2002;01;28;00;00;16.58;242.47;25.92;9.57
2002;01;29;00;00;5.75;205.13;9.74;3.47
2002;01;30;00;00;4.50;169.70;5.67;3.23
2002;01;31;00;00;8.49;233.25;16.62;2.86
2002;02;01;00;00;8.47;208.24;14.69;4.68
2002;02;02;00;00;5.35;126.12;5.91;4.30
2002;02;03;00;00;5.03;140.76;5.78;3.92
2002;02;04;00;00;10.38;213.38;19.14;3.69
2002;02;05;00;00;10.53;197.88;18.55;5.93
2002;02;06;00;00;10.61;243.20;14.66;6.59
2002;02;07;00;00;6.25;258.80;9.85;3.23
2002;02;08;00;00;10.89;225.07;13.94;7.15
2002;02;09;00;00;15.95;237.28;23.54;10.54
2002;02;10;00;00;27.95;252.96;35.91;20.51
2002;02;11;00;00;25.85;238.51;39.92;19.42
2002;02;12;00;00;21.68;249.59;27.71;15.63
2002;02;13;00;00;14.38;247.49;21.07;2.11
2002;02;14;00;00;18.14;59.35;34.25;0.57
2002;02;15;00;00;13.04;50.46;24.58;8.51
2002;02;16;00;00;4.38;158.32;11.28;0.53
2002;02;17;00;00;2.81;169.52;4.49;0.43
2002;02;18;00;00;8.21;274.14;17.15;1.21
2002;02;19;00;00;20.50;247.43;29.78;7.58
2002;02;20;00;00;39.78;240.99;53.50;22.70
2002;02;21;00;00;26.48;263.04;53.26;0.57
2002;02;22;00;00;16.92;218.28;26.13;5.83
2002;02;23;00;00;38.17;255.87;58.59;19.21
